WallArea,RoofArea,OverallHeight,Orientation,GlazingArea,GlazingDistribution,CompactnessRatio,SurfaceArea,HeatingLoad
245.0,110.25,7.0,3,0.25,2,0.74,686.0,15.55
270.0,122.5,3.5,4,0.10,3,0.64,588.0,8.12
318.5,147.0,7.0,2,0.40,1,0.82,808.5,32.05
220.5,98.0,3.5,3,0.00,0,0.66,563.5,6.65
294.0,132.0,7.0,4,0.25,4,0.76,735.0,20.84
245.0,110.25,3.5,2,0.10,2,0.74,686.0,9.64
318.5,147.0,3.5,3,0.40,3,0.82,808.5,14.75
270.0,122.5,7.0,1,0.00,0,0.64,588.0,12.28
220.5,98.0,7.0,4,0.25,1,0.66,563.5,18.93
294.0,132.0,3.5,2,0.10,4,0.76,735.0,10.36
245.0,110.25,7.0,3,0.40,2,0.74,686.0,28.42
318.5,147.0,7.0,1,0.25,3,0.82,808.5,25.17
270.0,122.5,3.5,4,0.00,0,0.64,588.0,6.95
220.5,98.0,3.5,2,0.10,1,0.66,563.5,7.48
294.0,132.0,7.0,3,0.40,4,0.76,735.0,33.90
245.0,110.25,3.5,1,0.25,2,0.74,686.0,11.20
318.5,147.0,3.5,4,0.10,3,0.82,808.5,12.08
270.0,122.5,7.0,2,0.40,1,0.64,588.0,26.35
220.5,98.0,7.0,3,0.00,0,0.66,563.5,14.10
294.0,132.0,3.5,1,0.25,4,0.76,735.0,13.52
245.0,110.25,7.0,4,0.10,2,0.74,686.0,16.80
318.5,147.0,7.0,2,0.00,0,0.82,808.5,19.65
270.0,122.5,3.5,3,0.25,1,0.64,588.0,10.88
220.5,98.0,3.5,1,0.40,3,0.66,563.5,11.75
294.0,132.0,7.0,4,0.10,4,0.76,735.0,22.40
252.0,114.0,7.0,2,0.25,1,0.72,698.0,17.30
280.0,126.0,3.5,3,0.10,2,0.68,610.0,9.15
310.0,140.0,7.0,4,0.40,3,0.80,790.0,30.50
230.0,102.0,3.5,1,0.00,0,0.70,575.0,7.20
285.0,128.0,7.0,2,0.25,4,0.75,720.0,21.60
248.0,112.0,3.5,3,0.10,1,0.73,690.0,8.85
325.0,150.0,7.0,4,0.40,2,0.83,820.0,34.20
265.0,120.0,3.5,1,0.00,0,0.65,595.0,6.40
300.0,135.0,7.0,2,0.25,3,0.78,750.0,23.75
240.0,108.0,7.0,3,0.10,4,0.71,680.0,15.90
312.0,142.0,3.5,4,0.40,1,0.81,800.0,15.20
275.0,124.0,7.0,1,0.00,0,0.67,605.0,13.40
225.0,100.0,3.5,2,0.25,2,0.69,568.0,10.50
298.0,134.0,7.0,3,0.10,3,0.77,740.0,19.85
255.0,116.0,3.5,4,0.40,4,0.73,700.0,13.65
318.5,147.0,7.0,1,0.25,2,0.82,808.5,26.80
245.0,110.25,3.5,2,0.00,0,0.74,686.0,7.50
270.0,122.5,7.0,3,0.40,1,0.64,588.0,27.15
294.0,132.0,3.5,4,0.10,3,0.76,735.0,11.40
220.5,98.0,7.0,1,0.25,4,0.66,563.5,19.55
260.0,118.0,7.0,2,0.40,2,0.70,620.0,29.30
235.0,106.0,3.5,3,0.00,0,0.72,580.0,6.80
305.0,138.0,7.0,4,0.25,1,0.79,770.0,22.90
