CycleCount,Temperature,Pressure,RPM,Vibration,OilTemp,CoolantFlow,PowerOutput,AmbientTemp,LoadPercent,RemainingLife
1,72.3,101.2,1500,0.12,65.4,8.2,85.0,25.0,70,195
5,72.8,101.1,1502,0.13,65.8,8.1,85.2,25.2,72,191
10,73.1,101.0,1498,0.14,66.1,8.0,85.5,25.5,71,186
15,73.5,100.9,1505,0.15,66.5,7.9,85.8,25.3,73,181
20,74.0,100.8,1501,0.16,67.0,7.8,86.0,25.8,74,176
25,74.3,100.7,1503,0.17,67.3,7.7,86.3,26.0,72,171
30,74.8,100.6,1499,0.18,67.8,7.6,86.5,25.6,75,166
35,75.2,100.5,1504,0.19,68.2,7.5,86.8,25.4,73,161
40,75.7,100.4,1500,0.20,68.7,7.4,87.0,26.2,76,156
45,76.1,100.3,1502,0.21,69.1,7.3,87.2,25.9,74,151
50,76.5,100.2,1498,0.22,69.5,7.2,87.5,25.7,77,146
55,77.0,100.1,1505,0.24,70.0,7.1,87.8,26.4,75,141
60,77.4,100.0,1501,0.25,70.4,7.0,88.0,26.1,78,136
65,77.9,99.9,1503,0.27,70.9,6.9,88.3,25.8,76,131
70,78.3,99.8,1499,0.28,71.3,6.8,88.5,26.6,79,126
75,78.8,99.7,1504,0.30,71.8,6.7,88.8,26.3,77,121
80,79.2,99.6,1500,0.31,72.2,6.6,89.0,26.0,80,116
85,79.7,99.5,1502,0.33,72.7,6.5,89.2,26.8,78,111
90,80.1,99.4,1498,0.35,73.1,6.4,89.5,26.5,81,106
95,80.6,99.3,1505,0.37,73.6,6.3,89.8,26.2,79,101
100,81.0,99.2,1501,0.39,74.0,6.2,90.0,27.0,82,96
105,81.5,99.1,1503,0.41,74.5,6.1,90.3,26.7,80,91
110,82.0,99.0,1499,0.43,75.0,6.0,90.5,26.4,83,86
115,82.4,98.9,1504,0.45,75.4,5.9,90.8,27.2,81,81
120,82.9,98.8,1500,0.48,75.9,5.8,91.0,26.9,84,76
125,83.3,98.7,1502,0.50,76.3,5.7,91.2,26.6,82,71
130,83.8,98.6,1498,0.53,76.8,5.6,91.5,27.4,85,66
135,84.2,98.5,1505,0.55,77.2,5.5,91.8,27.1,83,61
140,84.7,98.4,1501,0.58,77.7,5.4,92.0,26.8,86,56
145,85.1,98.3,1503,0.61,78.1,5.3,92.3,27.6,84,51
150,85.6,98.2,1499,0.64,78.6,5.2,92.5,27.3,87,46
155,86.0,98.1,1504,0.67,79.0,5.1,92.8,27.0,85,41
160,86.5,98.0,1500,0.70,79.5,5.0,93.0,27.8,88,36
165,87.0,97.9,1502,0.74,80.0,4.9,93.2,27.5,86,31
170,87.4,97.8,1498,0.77,80.4,4.8,93.5,27.2,89,26
175,87.9,97.7,1505,0.81,80.9,4.7,93.8,28.0,87,21
180,88.3,97.6,1501,0.85,81.3,4.6,94.0,27.7,90,16
185,88.8,97.5,1503,0.89,81.8,4.5,94.3,27.4,88,11
190,89.2,97.4,1499,0.93,82.2,4.4,94.5,28.2,91,6
195,89.7,97.3,1504,0.98,82.7,4.3,94.8,27.9,89,1
3,72.5,101.1,1501,0.12,65.5,8.1,85.1,24.8,71,193
8,72.9,101.0,1503,0.13,65.9,8.0,85.3,25.1,73,188
13,73.3,100.9,1499,0.15,66.3,7.9,85.6,25.4,72,183
18,73.7,100.8,1504,0.16,66.7,7.8,85.9,25.6,74,178
23,74.2,100.7,1500,0.17,67.2,7.7,86.2,25.9,73,173
28,74.6,100.6,1502,0.18,67.6,7.6,86.4,26.1,75,168
33,75.0,100.5,1498,0.19,68.0,7.5,86.7,25.5,74,163
38,75.5,100.4,1505,0.20,68.5,7.4,86.9,26.3,76,158
43,75.9,100.3,1501,0.22,68.9,7.3,87.1,25.8,75,153
48,76.3,100.2,1503,0.23,69.3,7.2,87.4,26.5,77,148
53,76.8,100.1,1499,0.24,69.8,7.1,87.6,26.0,76,143
58,77.2,100.0,1504,0.26,70.2,7.0,87.9,26.7,78,138
63,77.6,99.9,1500,0.27,70.6,6.9,88.1,26.2,77,133
68,78.1,99.8,1502,0.29,71.1,6.8,88.4,26.9,79,128
73,78.5,99.7,1498,0.31,71.5,6.7,88.6,26.4,78,123
78,79.0,99.6,1505,0.32,72.0,6.6,88.9,27.1,80,118
83,79.4,99.5,1501,0.34,72.4,6.5,89.1,26.6,79,113
88,79.9,99.4,1503,0.36,72.9,6.4,89.4,27.3,81,108
93,80.3,99.3,1499,0.38,73.3,6.3,89.6,26.8,80,103
98,80.8,99.2,1504,0.40,73.8,6.2,89.9,27.5,82,98
103,81.2,99.1,1500,0.42,74.2,6.1,90.1,27.0,81,93
108,81.7,99.0,1502,0.44,74.7,6.0,90.4,27.7,83,88
113,82.2,98.9,1498,0.46,75.2,5.9,90.6,27.2,82,83
118,82.6,98.8,1505,0.49,75.6,5.8,90.9,27.9,84,78
123,83.1,98.7,1501,0.51,76.1,5.7,91.1,27.4,83,73
128,83.5,98.6,1503,0.54,76.5,5.6,91.4,28.1,85,68
133,84.0,98.5,1499,0.56,77.0,5.5,91.6,27.6,84,63
138,84.4,98.4,1504,0.59,77.4,5.4,91.9,28.3,86,58
143,84.9,98.3,1500,0.62,77.9,5.3,92.1,27.8,85,53
148,85.3,98.2,1502,0.65,78.3,5.2,92.4,28.5,87,48
153,85.8,98.1,1498,0.68,78.8,5.1,92.6,28.0,86,43
158,86.2,98.0,1505,0.71,79.2,5.0,92.9,28.7,88,38
163,86.7,97.9,1501,0.75,79.7,4.9,93.1,28.2,87,33
168,87.1,97.8,1503,0.78,80.1,4.8,93.4,28.9,89,28
173,87.6,97.7,1499,0.82,80.6,4.7,93.6,28.4,88,23
178,88.0,97.6,1504,0.86,81.0,4.6,93.9,29.1,90,18
183,88.5,97.5,1500,0.90,81.5,4.5,94.1,28.6,89,13
188,88.9,97.4,1502,0.94,81.9,4.4,94.4,29.3,91,8
193,89.4,97.3,1498,0.99,82.4,4.3,94.6,28.8,90,3
2,72.4,101.2,1502,0.12,65.5,8.2,85.1,24.9,70,194
7,72.7,101.1,1500,0.13,65.7,8.1,85.2,25.3,72,189
12,73.2,101.0,1504,0.14,66.2,8.0,85.5,25.6,71,184
17,73.6,100.9,1498,0.16,66.6,7.9,85.8,25.2,73,179
22,74.1,100.8,1503,0.17,67.1,7.8,86.1,25.9,74,174
27,74.5,100.7,1501,0.18,67.5,7.7,86.3,26.2,72,169
32,74.9,100.6,1505,0.19,67.9,7.6,86.6,25.7,75,164
37,75.4,100.5,1499,0.20,68.4,7.5,86.8,26.4,73,159
42,75.8,100.4,1504,0.21,68.8,7.4,87.0,26.0,76,154
47,76.2,100.3,1500,0.23,69.2,7.3,87.3,26.6,74,149
