Temperature,Humidity,Vibration,Pressure,RPM,PowerConsumption,SoundLevel,OperatingHours,Anomaly
72.5,45.2,0.12,101.3,1500,2.4,55.0,120,Normal
73.1,44.8,0.11,101.2,1502,2.5,54.8,121,Normal
71.8,46.0,0.13,101.4,1498,2.3,55.2,122,Normal
95.2,38.5,0.45,98.7,1650,4.8,72.5,123,Anomaly
72.0,45.5,0.12,101.3,1501,2.4,55.1,124,Normal
73.5,44.2,0.10,101.1,1499,2.5,54.5,125,Normal
88.7,40.1,0.38,99.5,1580,3.9,68.0,126,Anomaly
71.5,46.3,0.11,101.5,1503,2.3,55.3,127,Normal
72.8,45.0,0.12,101.2,1500,2.4,54.9,128,Normal
93.4,37.8,0.52,97.9,1720,5.2,75.3,129,Anomaly
73.0,44.9,0.13,101.3,1501,2.5,55.0,130,Normal
72.2,45.4,0.11,101.4,1499,2.4,55.1,131,Normal
71.9,45.8,0.12,101.3,1502,2.3,54.8,132,Normal
91.0,39.2,0.41,99.1,1610,4.3,70.2,133,Anomaly
72.6,45.1,0.12,101.2,1500,2.4,55.0,134,Normal
73.3,44.5,0.10,101.1,1498,2.5,54.6,135,Normal
72.1,45.6,0.13,101.4,1503,2.3,55.2,136,Normal
96.8,37.0,0.58,97.2,1780,5.8,78.1,137,Anomaly
71.7,46.1,0.11,101.5,1501,2.4,55.3,138,Normal
72.9,44.7,0.12,101.2,1500,2.5,54.9,139,Normal
73.2,45.3,0.10,101.3,1499,2.4,55.0,140,Normal
89.5,39.8,0.43,99.3,1595,4.1,69.5,141,Anomaly
72.4,45.0,0.12,101.2,1502,2.3,54.8,142,Normal
71.6,46.2,0.13,101.4,1500,2.4,55.2,143,Normal
94.1,38.1,0.49,98.2,1690,5.0,73.8,144,Anomaly
72.7,45.2,0.11,101.3,1501,2.5,55.0,145,Normal
73.0,44.6,0.12,101.1,1499,2.4,54.7,146,Normal
72.3,45.7,0.10,101.4,1503,2.3,55.3,147,Normal
90.3,39.5,0.44,99.0,1625,4.5,71.0,148,Anomaly
72.0,45.4,0.12,101.3,1500,2.4,55.1,149,Normal
71.4,46.5,0.13,101.5,1498,2.3,55.4,150,Normal
97.5,36.8,0.61,96.8,1810,6.1,79.5,151,Anomaly
73.4,44.3,0.11,101.0,1503,2.5,54.4,152,Normal
72.6,45.3,0.12,101.2,1500,2.4,55.0,153,Normal
71.9,45.9,0.10,101.4,1501,2.3,55.1,154,Normal
92.1,38.9,0.47,98.5,1660,4.6,71.8,155,Anomaly
73.1,44.7,0.13,101.1,1499,2.5,54.8,156,Normal
72.3,45.5,0.11,101.3,1502,2.4,55.2,157,Normal
71.7,46.1,0.12,101.4,1500,2.3,55.0,158,Normal
89.8,40.0,0.40,99.4,1590,4.0,68.5,159,Anomaly
72.8,44.9,0.12,101.2,1501,2.5,54.9,160,Normal
73.2,45.1,0.10,101.3,1499,2.4,55.1,161,Normal
72.0,45.7,0.13,101.4,1503,2.3,55.3,162,Normal
95.8,37.3,0.55,97.5,1740,5.5,76.2,163,Anomaly
71.6,46.3,0.11,101.5,1500,2.4,55.2,164,Normal
72.9,44.8,0.12,101.2,1502,2.5,54.7,165,Normal
73.3,44.4,0.10,101.1,1498,2.4,54.5,166,Normal
91.5,39.1,0.42,99.0,1615,4.4,70.8,167,Anomaly
72.1,45.6,0.13,101.3,1501,2.3,55.1,168,Normal
71.8,46.0,0.11,101.4,1500,2.4,55.0,169,Normal
73.0,44.6,0.12,101.2,1499,2.5,54.8,170,Normal
94.6,37.9,0.50,98.0,1700,5.1,74.5,171,Anomaly
72.4,45.3,0.10,101.3,1503,2.3,55.2,172,Normal
72.7,45.0,0.12,101.2,1501,2.4,54.9,173,Normal
71.5,46.4,0.13,101.5,1500,2.4,55.4,174,Normal
88.2,40.3,0.37,99.6,1575,3.8,67.5,175,Anomaly
73.1,44.8,0.11,101.1,1498,2.5,54.6,176,Normal
72.5,45.2,0.12,101.3,1502,2.4,55.0,177,Normal
72.2,45.5,0.10,101.4,1501,2.3,55.1,178,Normal
93.0,38.3,0.48,98.3,1680,4.9,73.2,179,Anomaly
71.9,45.9,0.13,101.3,1499,2.4,55.0,180,Normal
73.4,44.4,0.11,101.0,1500,2.5,54.5,181,Normal
72.6,45.1,0.12,101.2,1503,2.3,55.2,182,Normal
90.8,39.4,0.43,99.1,1605,4.2,69.8,183,Anomaly
72.0,45.7,0.10,101.4,1501,2.4,55.3,184,Normal
71.7,46.2,0.13,101.5,1500,2.3,55.1,185,Normal
73.2,44.5,0.11,101.1,1498,2.5,54.7,186,Normal
96.2,37.1,0.57,97.3,1770,5.7,77.5,187,Anomaly
72.8,45.0,0.12,101.2,1502,2.4,54.9,188,Normal
72.3,45.4,0.10,101.3,1499,2.3,55.0,189,Normal
71.6,46.3,0.13,101.5,1501,2.4,55.4,190,Normal
89.1,40.2,0.39,99.5,1585,3.9,68.2,191,Anomaly
73.0,44.7,0.11,101.1,1500,2.5,54.8,192,Normal
72.4,45.3,0.12,101.3,1503,2.3,55.2,193,Normal
72.1,45.6,0.10,101.4,1498,2.4,55.1,194,Normal
94.3,38.0,0.51,98.1,1695,5.0,74.0,195,Anomaly
71.8,46.0,0.13,101.4,1501,2.3,55.0,196,Normal
73.3,44.3,0.11,101.0,1499,2.5,54.4,197,Normal
72.7,45.1,0.12,101.2,1502,2.4,55.0,198,Normal
91.8,39.0,0.46,98.8,1640,4.5,71.2,199,Anomaly
72.5,45.2,0.10,101.3,1500,2.4,55.1,200,Normal
73.1,44.8,0.13,101.1,1503,2.5,54.9,201,Normal
71.9,45.9,0.11,101.4,1498,2.3,55.2,202,Normal
95.0,37.5,0.53,97.8,1730,5.3,75.8,203,Anomaly
72.2,45.5,0.12,101.3,1501,2.4,55.0,204,Normal
72.8,44.9,0.10,101.2,1499,2.5,54.8,205,Normal
71.5,46.4,0.13,101.5,1500,2.3,55.3,206,Normal
90.0,39.6,0.41,99.2,1600,4.2,69.2,207,Anomaly
73.0,44.6,0.11,101.1,1502,2.4,54.7,208,Normal
